"필라델피아, PHILLY",philadelphia
"경찰, 치안을 유지하다, 감시하다",police
부서,department
목요일,thursday
"죽은, 죽은 사람들, 딱∙완전히∙정확히, 전류가 흐르고 있지 않은",dead
대형 쓰레기 수납기,dumpster
"머리, 가다, ~을 이끌다, 수반이 되다, 엽구, 양정",head
"say의 과거, 과거분사, = aforementioned",said
줄이 쳐진,ruled
"경우, 실정, 사례",case
살인,homicide
"뒤에, <어떤 일이 반복계속됨을 나타낼 때>",after
"확연한, 단호한, 천명된",pronounced
"소식, 뉴스, 뉴스감",news
"회의, 회담, 연맹",conference
"몸값, 몸값을 지불하다",ransom
"와 함께, 을 가진, 이 달린, 로, 을 써서",with
"구성 단위, 한 개, 부대",unit
"묻는 사람, 문의자, 조사원, 탐구자",inquirer
보고,reported
"주택, 주택 공급, 하우징",housing
"지휘권, 권한, 재가",authority
"에 따라서, 일치하여",according
WYAL,whyy
"쓰레기, 부수다, 맹비난하다, 완전 구린 (↔fire)",trash
경도 배사,overturned
"저, 저 사람, 너무 해서 하다",that
"남은 것, 나머지, 유적, 유해",remains
"동안, 중에, 에",during
"그릇, 용기, 컨테이너",container
"남자의, 남자, 수–",male
→ be,were
"의 안에, 이내에, 안에",inside
라일리,reilly
