"미국의 수도, 미국 정부, 미국 북서부 끝의 주",washington
"최고의, 최대의",supreme
"법정, 의 환심을 사려고 하다, 을 얻으려고 하다",court
"공평성, 공정성, 정당성, 사법, 재판",justice
"남자 이름, 도마, 성희롱으로 고발하다",thomas
목요일,thursday
상세한 내용을 밝히다,disclosed
"여행하다, 여행, 이동하다",travel
"유급의, 보수가 주어지는, 보수를 받는",paid
"까마귀, ‘꼬끼오’하고 울다, 마구 자랑하다",crow
"마지막의, 맨 끝에, 마지막 사람, 구두골",last
"해, 1년, 학년, 학년생",year
을 포함하여,including
"사유의, 이등병, 사적인",private
"여행, 차다, 항공편, 국내",flight
"텍사스, 최상층의 갑판실",texas
"저, 저 사람, 너무 해서 하다",that
"say의 과거, 과거분사, = aforementioned",said
"일반적으로 인정된, 용인된, 인수가 끝난",accepted
"때문에, –해서",because
증가한,increased
"보안, 경비 담당 부서, 보장",security
"뒤에, <어떤 일이 반복계속됨을 나타낼 때>",after
"새게 하다, 새는 곳, 누출",leak
"높은, 최고, 높이",high
논란이 많은,controversial
"낙태, 임신중절",abortion
"의견, 견해",opinion
"애착을 가진, ~ 소속의, 부착된, 첨부된, atchd",attached
"매년의, 연감, 일년생 식물, 한해살이",annual
"폭로, 밝혀진 사실",disclosure
"알리다, 보도, 기록",report
"make의 과거, 과거분사, 하게 만든",made
"일반인의, 일반 사람들, 사람들, 공영의",public
"유명한, 잘 알려져 있는",noted
"어느, 어떤 사람, 어느 것, <명사를 수식하는 형용사절을 이끌어 정확히 어떤 것을 말하는지 나타낼 때 씀>",which
세부 사항,details
"약, –쯤, –경, 거의, 에 대한, ca",about
순회 재판관,justices
"겉, 바깥쪽, 밖, 겉면의, 바깥쪽의, 외부의",outside
"또한, 게다가, 도",also
"여행, 발을 헛디디다, ~를 넘어뜨리다, 다리를 걸다",trip
"첫, 첫 째의, 첫째, 첫째의, 우선, 맨 먼저",first
"인정된, 승인된, 정평 있는",acknowledged
"에서, 부터, 에게서, 어디로부터인지",from
"가지다, 으로 되어 있다, 잡고 있다",have
→ go,been
"넘어지게, 쓰러지게, 떨어지게, 뒤집어, 위에",over
은물,gifts
"토론, 논의하다, 곰곰이 생각하다",debate
DACR,democrats
"회의, 의회",congress
성군 선발,groups
"암호, 부호로 처리하다, 암호로 쓰다",code
"윤리학, 도덕 원리, 윤리, 도의, 덕의",ethics
"슬라이드, 투명도, 속이 빤히 들여다보임",transparency
"호화로움, 드문 호사",luxury
"연속, 시리즈, 직렬연결",series
최근의,recent
"변호사, 대리인",attorney
"등, 허리, 뒤쪽의, 뒤로, 뒤쪽에",back
비평가들,critics
"너무 긴, 장황한, 지루한",lengthy
"성명, 특수 교육 필요 결정을 내리다, 성명서",statement
"비판, 비평",criticism
"최대, 가장",most
Alitoc Soft Cap. 10mg,alito
"더 많은 수, 더, 굉장한, 대단한",more
여름,summer
"결정, 결단력",decision
나이를 먹으면 철이 난다,years
"와 함께, 을 가진, 이 달린, 로, 을 써서",with
"집, 집의, 집에",home
"보고, 안전보장조치 실시방법의 하나",reports
"가운데에, 으로 에워싸인",amid
추문을 주로 다루는 신문,scandals
IPIP,involving
6월,june
무역관련 지식재산권에 관한 협정,trips
<어떤 것이 존재발생함을 나타낼 때 씀>,there
"최근의, 최근의 것",latest
공시기준,disclosures
→ be,were
임무가 해제된,released
"그 동안에, 한편, 뉴스 방송이나 신문의 머리기사로 다루기에는 중요도가 떨어지는 뉴스 아이템",meanwhile
버클륨,berke
"지나간, 지난, 최근의, 과거, 지난날",past
보도,reporting
"편파적인, 열렬한 지지자, 게릴라",partisan
보고,reported
(=wilful),willful
"사전의, 소수도원의 원장, 대수도원의 부원장",prior
생략한,omitted
자격 요건,requirements
IDIOT,includes
정보,information
"무심코, 우연히, 부주의로",inadvertently
막대한 값으로 팔렸다,purchased
"지도, 유도, 지침, 지표",guidance
"일 것이다, 원하다, 의지, 의견",will
"다른, 다른 사람, 다른 한, 나의, 너의 다른 한 ~ 등",other
예상보다 일찍,earlier
"법관들, 사법부",judiciary
"국가, 국민",nation
"가장 높은, 최고의",highest
"꾸준한, 균형을 잡다, 흔들림 없이",steady
"개울, 줄줄 흐르다, 줄을 지어 이어지다",stream
"제정법, 법률의 제정",legislation
"상원, 대학 평의회, 원로원, 원로원 건물",senate
<누가 한 말·생각을 전달하는 문장에서 will의 과거형으로 씀>,would
"필요하다, 요구하다",require
"입양하다, 쓰다, 채택하다",adopt
DCMC,described
"약, 쯤, 사방에, 빙 둘러, 둘레에, 주위에",around
"주제, 발표하다, 발부하다, Iss",issue
